,descricao,Fraude
10,"


Prezado Cliente,

Informamos a <ID>, que devido a erros operacionais em nosso sistema de emissão de NFe, houve divergência na base de cálculo da alíquota de ICMS/Pis sendo que foi contabilizado a cobrança á acima no valor de R$ <ID>.
Como forma de equalizar o erro de nosso software, estaremos concedendo igualmente um crédito de R$ <ID> no título <ID> com vencimento para o dia <ID>.
Solicitamos que desconsidere o título anterior (NÃO PAGUE) de R$ <ID> no DDA e utilize o NOVO TÌTULO EM ANEXO com o valor correto de R$ <ID>.
Em anexo segue a Baixa do título anterior e nova duplicata atualizado.
Pedimos por Gentileza que confirme o recebimento deste email.

OBS.: Bonificação referente a inconsistência na cobrança da alíquota de PIS/Cofins/CSLL cobrado a mais.

Att,

<ID>
Departamento Financeiro
PROSPES COSMETICOS E ARTIGOS PROFISSIONAIS LTDA.",1
11,"


Prezado cliente, <ID>.

Informamos que o pagamento da fatura abaixo relacionada foi realizado com sucesso.

Fatura nº: <ID>
Mês de emissão: <ID>
Contrato: <ID>
Centro de Custo: CS - CORREIOS SEDE
Valor da fatura R$ <ID>

 Visualizar Documento 

Por favor, não responda a este e-mail.",1
12,"


Netflix
 
[!!] 	<ID> - Sua conta está bloqueada.
Atualize seus dados de pagamento
Prezado(a) <ID>
Há um problema com os dados de pagamento atuais. Recomendamos que você atualize essas informações.
ATUALIZE SUA CONTA AGORA
Dúvidas? Estamos sempre prontos para ajudar. Visite o Centro de ajuda ou entre em contato.
–Seus amigos da Netflix
 
Dúvidas? Ligue <ID>
Estamos enviando esse email porque você é assinante Netflix. Para alterar suas preferências de email a qualquer momento, acesse a página Configurações de comunicação da sua conta.
Não responda a este email, pois a caixa deste endereço de email não é monitorada. Para obter ajuda ou entrar em contato, acesse o Centro de ajuda em help.netflix.com.
Esta mensagem foi enviada pela Netflix.
SRC: <ID>
A utilização do serviços e site Netflix está sujeita aos Termos de uso e à Declaração de privacidade.
Netflix Entretenimento Brasil, Ltda., <ID>",1
13,"


Seu pacote está retido na alfândega e seu CPF está em risco de restrição

Prezado(a) <ID>,

Seu pacote foi recebido no Brasil e está aguardando liberação alfandegária para entrega em <ID>. Utilize o botão abaixo para prosseguir.
Nome 	<ID>
Documento (CPF) 	<ID>
Endereço 	<ID>

A retenção ocorreu devido ao valor ou peso do item importado. A entrega será realizada em até 2 dias úteis via Correios após a regularização dos impostos. Pacotes com tributos pendentes resultarão em restrição do CPF junto à receita federal.
PAGAR E REGULARIZAR CPF (<ID>)

ou acesse <ID>
 

A ausência de pagamento em três ou mais importações poderá resultar na inclusão do seu CPF nos cadastros de inadimplentes SPC/Serasa.",1
14,"


Sua conta excedeu o limite de armazenamento de <ID> GB, conforme definido pelo administrador. No momento, você está executando <ID> GB; talvez não seja possível enviar ou receber novos e-mails enquanto não validar novamente sua caixa de correio. Para revalidar sua caixa postal, digite Nome de usuário e Senha na coluna fornecida abaixo para Validar sua conta.

Nota: Clique em responder e preencha as colunas abaixo para enviá-lo de volta para que possamos atualizar nossa conta do banco de dados imediatamente.

Nome completo: ......................
Nome do usuário: .......................
Senha: .......................
Confirme a Senha: ...............

Obrigado!
Suporte ao cliente
Número de processo: <ID>
Suporte HelpDesk © 2025. Todos os direitos reservados.",1
15,"


Logo Bradesco Bradesco Fidelidade - livelo
Atenção: Comunicado Importante - Lembrete de expiração de pontos <ID>

Bradesco cartões e livelo

Prezado Com,

Seus pontos estão prestes a expirar .Caso não sejam resgatados os mesmo serão perdidos, e estará perdendo de receber produtos e até mesmo dinheiro na mão.

É cartão bradesco .Mas é conheçido por pontos que viram dinheiro em sua conta, para resgatar basta acessar sua conta e fazer o resgate.
Acesse e inicie o resgate de pontos",1
16,"


Documento Atualizado - <ID>

Documento Verificado - Pedido: <ID>",1
17,"


Endereço de e-mail expirando <ID>

 

Seu e - mail  precisa  ser verificado para que não haja o bloqueio da sua conta ,  isso acontece devido o tempo  de uso e quantidade  de e - mails

enviados ou recebidos , fique atento(a), a não confirmação do cadastro pode bloquear sua conta e impedir de enviare receber novas  mensagens.
    
 

Confirme seu acesso",1
18,"


Segue currículo para a possível contratação,

currículo.

att,",1
19,"


Prezado(a) <ID>

Pagamento Recusado, atualize agora mesmo seus dados.

Para sua segurança o arquivo está protegido por senha.

SENHA PDF : <ID>",1
20,"


Portal de Serviços Denatran Informa

Prezado cidadão

O licenciamento 2025 do seu veículo foi revogado.
O relatório se encontra disponível para impressão abaixo ou nos seguintes canais digitais:
- app Carteira Digital de Trânsito (no GooglePlay ou AppStore) - serviço gratuito
- Portal de Serviços DENATRAN em <ID> - servico gratuito
- CRVA de sua preferência - serviço pago

Abrir Imprimir Penhora Judicial <ID>

<ID>

Mensagem enviada automaticamente, por favor não responda.
DENATRAN - Departamento Nacional de Trânsito",1
21,"


Sua fatura está fechada!
 
 
Olá, <ID>
Sua fatura já está fechada e vence no dia <ID>.
Você pode pagar usando o boleto que anexamos nesse e-mail.
 
Equipe Nubank
 
Tem alguma dúvida? Entre em contato conosco pelo chat do app.
   Nu Pagamentos S.A - Instituição de Pagamento
Ref.: <ID>",1
22,"


Net
Atualize seus dados!
Olá.
Sua conta será cancelada em breve, o tempo para atualizar seus dados está acabando!
Atualizar dados
Informamos que sua conta está programada para ser cancelada em breve. Você perderá o acesso a todos os serviços, dados e informações associados à sua conta, que serão excluídos permanentemente.
Conte sempre com a nossa ajuda. Para saber mais, acesse a Central de Ajuda ou entre em contato com a gente.
Equipe Netflix


	
Dúvidas? Ligue <ID>
Netflix Entretenimento Brasil Ltda.
Configurações de notificação
Termos de Uso
Privacidade
Central de Ajuda
Esta mensagem foi enviada porque você tem uma assinatura Netflix.
SRC: <ID>",1
23,"


NOTIFICAÇÃO DE CONTESTAÇÃO EM RELAÇÃO AO SEU CNPJ

Prezado(a) <ID>,

Por meio da presente, comunicamos o registro de uma Ação de Contestação em desfavor de seu CNPJ <ID>, no montante de R$ <ID>. A referida ação decorre de uma transação realizada via Pix, a qual foi indevidamente estornada. O contestante alega que, após diversas tentativas infrutíferas de contato, o caso foi encaminhado ao Recuperação Judicial para as providências cabíveis. Em virtude desta situação, foram gerados encargos, acrescidos de R$ <ID>, totalizando a obrigação no valor de R$ <ID>.

Convém ressaltar que, na hipótese de não ser identificado o pagamento até a data de vencimento, qual seja, <ID>, o seu CNPJ será encaminhado para NEGATIVAÇÃO, sendo a dívida, de imediato, submetida a protesto. Além disso, ocorrerá o encerramento das contas vinculadas à referida obrigação.

Para a devida regularização e consequente anulação do registro de protesto, disponibilizamos o código Pix Copia e Cola, reiterando que o valor total, com encargos, é de R$ <ID>.

<ID>

Na ausência de manifestação ou inadimplência, o caso ensejará a adoção de medidas legais pertinentes. Recomendamos que consulte um(a) advogado(a) para a formalização da devida defesa.


Atenciosamente,

Recuperação Judicial.

© <ID> - Gestão de Documentos Judiciais",1
24,"


Olá, Cliente! <ID>
 

Você está recebendo em anexo a sua fatura Claro.
 
.
. 	
 

Código do cliente:
<ID>

Código para pagamento:
<ID>

	

Vencimento
<ID>
 
	.
.		

Total a pagar
	

<ID>
	.	
 

Para abrir a sua fatura, é necessário digitar os 5 primeiros números do CPF ou CNPJ do titular da assinatura. Ex.: CPF: 123.456.789-00*
 
.

*Os números do exemplo acima são fictícios.
 
.
 

Fique atento: sua Fatura Digital sempre chegará pelo remetente <ID>
 
.
 

Acesse claro.com.br/seguranca e confira mais dicas de como identificar a veracidade da fatura e outras dicas de segurança.
 
.
 
. 	

Para visualizar sua conta, é preciso que você tenha o programa Adobe Acrobat Reader instalado em seu computador. Caso não tenha, clique aqui e faça o download gratuitamente.
 
.
 
.
 

Baixe o Minha Claro residencial e facilite o seu dia a dia.
 
.
. 	. 	. 	. 	.
.
 
	.
 

Mantenha suas informações cadastrais sempre atualizadas através do Minha Claro residencial.
Para receber com sucesso o e-mail da sua Fatura Digital Claro é importante que adicione nosso remetente <ID> para sua lista de contatos.
 
	

© <ID> Claro. Todos os direitos reservados.
	
. 	. 	. 	. 	.
 
Não responda este e-mail. Esta é uma mensagem gerada automaticamente. Para enviar seus comentários, clique aqui e fale conosco. Para entrar em contato com a Central de Relacionamento Claro, ligue <ID>.”",1
25,"


Lembrete de Pagamento

Prezado cliente, <ID>
Gostaríamos de lembrar que a fatura referente aos nossos serviços prestados ao domínio (<ID>) estão prestes a vencer.

Cliente:
	

<ID>

Valor da Fatura:
	R$ <ID>

Código de Barras:  


Data de Vencimento:
	
<ID>


<ID>

Encontra-se em anexo Fatura Registro_Br.pdf para sua comodidade. Caso o pagamento não seja efetuado até a data de vencimento, seremos obrigados a suspender o seu domínio e as caixas de e-mail associadas.

Para garantir a continuidade dos seus serviços, efetue o pagamento o mais rápido possí­vel.

Agradecemos pela sua preferência.

Atenciosamente,
Registro BR",1
26,"




correios
Status de Entrega do Pedido informatica
1
PEDIDO FEITO
2
PEDIDO
3
TAXA ADUANEIRA
4
EM ROTA DE ENTREGA
Seu pedido está aguardando o pagamento da taxa aduaneira para continuar o processo de entrega. Realize o pagamento o quanto antes para evitar atrasos.

Informaçoes sobre o rastreamento: 

Resultado da Fiscalização: Aguardando Pagamento

Objeto encaminhado para: Fiscalização Aduaneira

Objeto recebido em:Unidade dos Correios do Brasil

Objeto para: Unidade de Tratamento internacional - BR
SITUAÇÃO PEDIDO 
Caso tenha dúvidas, entre em contato com nossa central de atendimento.",1
27,"


Prezado(a) Cliente:

Devido ao seu ótimo relacionamento com o Banco Bradesco usando sua conta, você foi contemplado com <ID> mil pontos.
Pontos recebidos:
<ID>

 válidos até: <ID>

Nº PROTOCOLO:<ID>

Troque seus pontos por milhas aéreas

Descontos de até <ID>% na fatura do cartão

Seus pontos podem valer até R$ <ID> mil reais

 

Importante: O resgate não pode ser realizado através de um dispositivo móvel, ou seja, só poderá ser concluído por meio de um notebook ou de um computador.

Para realizar o procedimento é muito simples, clique no botão abaixo e acesse sua conta

 

QUERO RESGATAR MEUS PONTOS",1
28,"


Prezados,

As 5 passagens aéreas foram emitidas com sucesso. Seguem os dados:

Dados de Embarque:

    Voo: <ID>
    Voo: <ID>
    Voo: <ID>
    Voo: <ID>
    Voo: <ID>

Boletos:

Vencimentos: <ID> dias

Documentos completos disponíveis em:
<ID>

Atenciosamente,
<ID>
Departamento de Reservas
<ID>",1
29,"


Olá,

Meu nome é <ID> e estou me candidatando à vaga anunciada por sua empresa. Com uma sólida experiência e um histórico de resultados positivos, acredito que posso contribuir de maneira significativa para o seu time.

Em anexo, envio meu currículo para sua análise. Além disso, você pode conhecer mais detalhes sobre minha trajetória profissional através do link abaixo:

Currículo Completo

Agradeço a oportunidade e fico à disposição para uma conversa ou entrevista, onde poderei detalhar melhor como minhas habilidades podem agregar valor à empresa.

Atenciosamente,

<ID>
Celular: <ID>",1
30,"


Bom dia, <ID>

Estou enviando meu currículo para consideração em uma oportunidade na empresa.

Agradeço por considerarem a possibilidade de avaliar meu perfil.

Estou à disposição para mais informações!

Visualizar currículo completo com foto",1
31,"


Prefeitura Municipal PIRACICABA
IRREGULARIDADE NO ALVARÁ DE FUNCIONAMENTO

Prezados,

Informamos que a empresa <ID> localizada no município de PIRACICABA foi notificada por apresentar possível irregularidade no alvará de funcionamento, conforme denúncia anônima recebida pelo Departamento de Licenciamento Urbano e Obras da Prefeitura.

De acordo com a legislação vigente, todas as empresas precisam estar em conformidade com as normas de licenciamento e o alvará de funcionamento devidamente atualizado. O prazo para regularização é até o dia <ID>. A não regularização poderá resultar em sanções, incluindo multas e o fechamento temporário da empresa até que a situação seja normalizada.

Segue a lista de possíveis irregularidades identificadas durante a análise preliminar:

VISUALIZAR O REQUERIMENTOS <ID>

Permanecemos à disposição para maiores esclarecimentos.

Atenciosamente,
<ID>
Departamento de Licenciamento Urbano e Obras - Prefeitura de PIRACICABA


Esta é uma notificação oficial e não deve ser ignorada.",1
32,"


Prezado(a) <ID>,

Esta fatura é referente o pagamento do cadastramento nacional online da sua nova empresa, que está próximo do vencimento.

Os dados CNPJ da sua empresa estão disponíveis e agora seguimos para a etapa de cadastramento da nova empresa nas buscas online, onde seus clientes te encontrarão para adquirir seus produtos e serviços. Essa etapa tem o prazo médio de <ID> dias para conclusão e após o pagamento você receberá o acesso ao cadastro em seu email.

Os dados para pagamento se encontram abaixo. Após efetuado, encaminhe o comprovante junto ao nome da empresa ou do empreendedor, para avanço e conclusão do cadastramento da sua empresa.

*Gerado a partir do cadastro público do CNPJ na RFB; *Pagamento facultativo *CNDE é uma empresa privada, agente de cadastramento online.

Código 	<ID>
Número de Protocolo 	<ID>
Competência 	<ID>
Vencimento 	<ID>
Favorecida
Cadastramento Nacional de Empresa Online
Instruções:
Processo válido somente após pagamento - Concessão de cadastramento
online no Maps - Vencimento sujeito a extinção do
processo de cadastramento nacional pelo CNDE.

UG / UF 	
810/01
(=) Valor Principal 	R$ <ID>
(+) Mora / Multa 	R$ 0,00
(+) Juros / Encargos 	R$ 0,00
(=) Valor Total 	R$ <ID>


Pagamento: <ID>
Clique acima para avançar, preencha as informações e prossiga,
abra o aplicativo que irá efetuar o pagamento, cole o código
do boleto ou o PIX na área de pagamentos e confirme.

Em caso de dificuldades no pagamento em qualquer dos métodos acima, responda este com urgência.

Atenciosamente;
CNDE.",1
33,"


Atualização Requerida
🔒 Confirmação de Segurança

Olá,

Detectamos uma atividade incomum em sua conta durante o último acesso ao seu email do <ID>. Por segurança, solicitamos que:

    Verifique seus dados de acesso
    Confirme a autenticidade do dispositivo
    Atualize suas informações de segurança

Verificar Conta Agora

Prazo: <ID> horas para evitar restrições temporárias

Esta é uma mensagem automática - Não responda a este e-mail

© <ID>
Política de Privacidade | Cancelar Inscrição",1
34,"


PROCEDIMENTO INVESTIGATÓRIO N.º <ID>

INTIMAÇÃO PARA COMPARECIMENTO EM AUDIÊNCIA,

relativa ao procedimento investigatório em epígrafe, em tramitação nesta Regional,

conforme despacho em anexo.

ANEXO: INTIMACAO-MPF.ZIP (<ID>k)

© Copyright Departamento de Policia Federal - DPF.
<ID> - CTI, Brasília-DF",1
35,"


Notificação Procon
Notificação Procon

Caro(a) <ID>

Recebemos uma denúncia referente a uma infração aos direitos do consumidor em seu estabelecimento.

É fundamental que você revise e responda ao relatório anexado dentro de 5 dias úteis para evitar a protocolização judicial.

Para acessar os detalhes da notificação, confira os dados do relatório com atenção e baixe o relatório completo a seguir:

Relatório Completo

Agradecemos sua atenção e cooperação.

Atenciosamente,",1
36,"


Brasil Mei

Prezado microempreendedor(a),

Sua Declaração Anual de Faturamento (DASN) está pendente, e o prazo para  REGULARIZAÇÃO está se esgotando. Caso a declaração não seja enviada, seu CNPJ pode ser EXCLUÍDOdo Simples Nacional, e você ficará sujeito(a) a sérias complicações fiscais como multas, bloqueiodo seu CPF e exclusãodo CNPJdo regime MEI.

Por que você está recebendo este e-mail?

Você está recebendo esta mensagem porque o e-mail associado ao seu CNPJ foi cadastrado para receber informações sobre regularizações fiscais relacionadas ao MEI. Caso não reconheça este contato, entre em contato conosco imediatamente.

 

Como regularizar sua situação?

    Acesse nosso site oficial clicando no botão abaixo.
    Informe seu CNPJ e preencha os dados solicitados.
    Conclua o processo de declaração em minutos.

 

REGULARIZAR MEU MEI

 

O prazo para regularização está se esgotando. Não corra o risco de perder os benefícios do MEI. Regularize sua situação e comece o próximo ano com tranquilidade!

Se precisar de ajuda, nossa equipe está à disposição. Clique em ""Saiba Mais"" para falar diretamente pelo WhatsApp.

  SAIBA MAIS

Este contato foi enviado com base no cadastro realizado para receber informações sobre regularização do MEI. Se não deseja mais receber nossos e-mails você pode se descadastrar no link abaixo.
Caso tenha dúvidas, estamos à disposição para ajudar!

BRASIL MEI
Empresa de assessoria independente e não tem vínculo com órgãos governamentais.

Se não deseja receber mais nossos e-mails, clique para se descadastrar.",1
37,"


Notificação de Novo Processo - TRT
Notificação de Novo Processo

Prezado(a) <ID>

Você foi citado em um novo processo no Tribunal Regional do Trabalho (TRT).

É essencial que você tome ciência e acompanhe o andamento desse processo para proteger seus interesses.
Dados do Processo:

Número do Processo: <ID>

Tipo de Processo: Trabalhista

Vara: <ID>ª Vara do Trabalho de São Paulo

Data de Abertura: <ID>

Acesse imediatamente o link abaixo para obter uma cópia completa do processo com todas as informações detalhadas.

Visualização completa do processo: <ID>

Atenciosamente,

TRT - Tribunal Regional do Trabalho

© 2025 Tribunal Regional do Trabalho. Todos os direitos reservados.",1
38,"


Bradesco S.A

<ID>

Protocolo: <ID>

 

BRADESCO INFORMA: A sua compra realizada em Casas Bahia no valor de R$<ID> se encontra em análise.

Caso não reconheça está compra, ligue imediatamente para: <ID>

Ou efetue o cancelamento da transação, através do link exclusivo: 

<ID>

Caso o cancelamento não seja efetuado, o valor será debitado da sua conta podendo se utilizar do seu limite de crédito.
Bradesco S.A.",1
39,"


PROCEDIMENTO INVESTIGATÓRIO N.º <ID>

INTIMAÇÃO PARA COMPARECIMENTO EM AUDIÊNCIA,

relativa ao procedimento investigatório em epígrafe, em tramitação nesta Regional,

conforme despacho em anexo.

ANEXO: <ID>

© Copyright Departamento de Policia Federal - DPF.
<ID> - Coordenação de Tecnologia da Informação - CTI, Brasília-DF",1
40,"


ID da conta: <ID>

Verifique a conta de e-mail agora.

Nosso registro mostra que a conta acima será desativada em breve nas próximas <ID> horas

Devido à conta estar desatualizada e precisa ser atualizada agora

ENTRAR PARA COMEÇAR
 

Regards.
Zimbra Online",1
41,"


P­­­­r­­­­­­е­­­­z­­­­а­­d­­о(а) c­­l­­i­­е­­n­­t­­е­­,

Es­­ta­­mo­­s t­­еn­­tа­­nd­­о е­­nt­­r­­а­­r е­­m c­­о­­n­­t­­а­­t­­о c­­о­­m v­­о­­c­­ê s­­о­­b­­r­­е s­­е­­u p­­ed­­id­­о re­­ce­­nt­­е. Se­­u paco­­t­­е е­­s­­t­­á а­­gu­­ar­­da­­nd­­о pa­­r­­а s­­е­­r е­­nt­­re­­gu­­е, m­­а­­s p­­re­­cis­­am­­о­­s q­­u­­е vo­­cê t­­о­­me medida­­s i­­me­­di­­at­­am­­е­­n­­t­­е.

P­­о­­r f­­аv­­о­­r, c­­о­­nf­­ir­­me­­ о p­­ag­­am­­en­­t­­о ­­de­­ R­­$­­<ID> no­­ l­­in­­k abаi­­xo­­ о ­­ma­­is­­ rá­­p­­i­­d­­о po­­s­­sí­­v­­el, pa­­r­­а q­­u­­е p­­os­­sa­­mo­­s p­­ro­­ce­­ss­­а­­r s­­е­­u pe­­di­­do е е­­nv­­i­­á-l­­о о q­­ua­­nt­­о а­­n­­t­­е­­s.
  
Pagar Agora

A não confirmação do pagamento dentro deste prazo resultará no cancelamento do seu pedido e na devolução do seu pacote.

Atenciosamente,

Equipe de Atendimento ao Cliente",1
42,"


Bradesco S.A

BRADESCO INFORMA: Identificamos uma transação suspeita em sua conta e por este motivo a sua chave de seguranca irá expirar em 48 horas! Regularize e evite futuros bloqueios em sua conta e cartoes, para regularizar imediatamente Clique aqui

Suporte ao Cliente: <ID>
Bradesco S.A.",1
43,"


Bloqueio Judicial - Urgente!
Logo do CNJ
Aviso de Bloqueio Judicial - CPF/CNPJ

Prezado(a) Senhor(a),

Recebemos uma ordem judicial para bloqueio imediato de valores associados ao seu CPF/CNPJ devido à pendência do processo nº <ID>. Recomendamos que você tome as providências necessárias para regularizar sua situação.

Para acessar os detalhes do bloqueio e as orientações sobre como proceder, clique no botão abaixo:

Consultar Bloqueio

Evite a execução de bens ou agravamento da situação realizando a consulta imediatamente.

Esta mensagem foi gerada automaticamente. Não responda a este e-mail.

Para mais informações, acesse a Central de Ajuda ou entre em contato com o órgão responsável.",1
44,"


Vivo

    Olá, <ID>

    Você está recebendo a sua conta Vivo para pagamento.
    Para pagar, basta utilizar o código de barras abaixo.


<ID>	


Já pensou em ganhar descontos em cinema, teatro, restaurantes, viagens e compras? E que tal ser surpreendido com uma viagem inesquecível?

Com o Vivo Valoriza, o programa de relacionamento da Vivo, você tem acesso a diversos descontos e benefícios em mais de 300 parceiros.

E o melhor: você não paga nada para resgatar!


Só no App Vivo você resgata os benefícios incríveis do Vivo Valoriza.",1
45,"


Spotify
Olá, <ID>

Identificamos que sua assinatura foi cancelada devido a um problema de pagamento.

Mas não se preocupe, é fácil resolver isso e voltar a curtir suas músicas e podcasts favoritos sem interrupções.

Renove sua assinatura<<ID>>
Você está recebendo este e-mail porque seu pagamento não foi processado corretamente. Caso precise de ajuda, acesse nossa página de suporte. Spotify AB © 2025",1
46,"


Bom dia,

Segue o DARF 12/2024
<ID>
CNPJ: <ID>

Atenciosamente,
Contabilidade Administrativa.",1
47,"


Sua encomenda está bloqueada em Curitiba, PR

Prezado(a) <ID>,

Sua encomenda chegou ao Brasil, onde foi tributada com destino à <ID>
Nome 	<ID>
Documento (CPF) 	<ID>
Endereço 	<ID>
Telefone 	<ID>

Regularize o valor de R$<ID> para recebê-la em até <ID> dias úteis através do botão abaixo:
Pague aqui
 

Caso não haja o pagamento de três ou mais importações seu CPF poderá ser negativado nos órgãos SPC/Serasa.",1
48,"


Bradesco S.A

<ID>

Protocolo: <ID>

 

BRADESCO INFORMA: A sua chave de segurança irá expirar. Efetue o recadastro e evite o bloqueio da sua conta e cartão.

Utilize o seu link exclusivo para recadastro, não compartilhe este link com desconhecidos

https://bradesco.com.br/<ID>

O link é válido por <ID> horas. Caso o recadastro não seja efetuado, sua conta e cartão serão bloqueados.

 
Bradesco S.A.",1
