,descricao,Fraude
23,"


notificacao de contestacao em relacao ao seu cnpj

prezadoa id

por meio da presente comunicamos o registro de uma acao de contestacao em desfavor de seu cnpj id no montante de r id a referida acao decorre de uma transacao realizada via pix a qual foi indevidamente estornada o contestante alega que apos diversas tentativas infrutiferas de contato o caso foi encaminhado ao recuperacao judicial para as providencias cabiveis em virtude desta situacao foram gerados encargos acrescidos de r id totalizando a obrigacao no valor de r id

convem ressaltar que na hipotese de nao ser identificado o pagamento ate a data de vencimento qual seja id o seu cnpj sera encaminhado para negativacao sendo a divida de imediato submetida a protesto alem disso ocorrera o encerramento das contas vinculadas a referida obrigacao

para a devida regularizacao e consequente anulacao do registro de protesto disponibilizamos o codigo pix copia e cola reiterando que o valor total com encargos e de r id

id

na ausencia de manifestacao ou inadimplencia o caso ensejara a adocao de medidas legais pertinentes recomendamos que consulte uma advogadoa para a formalizacao da devida defesa


atenciosamente

recuperacao judicial

 id  gestao de documentos judiciais",1
24,"


ola cliente id
 

voce esta recebendo em anexo a sua fatura claro
 

 	
 

codigo do cliente
id

codigo para pagamento
id

	

vencimento
id
 
	
		

total a pagar
	

id
		
 

para abrir a sua fatura e necessario digitar os 5 primeiros numeros do cpf ou cnpj do titular da assinatura ex cpf 12345678900
 


os numeros do exemplo acima sao ficticios
 

 

fique atento sua fatura digital sempre chegara pelo remetente id
 

 

acesse clarocombrseguranca e confira mais dicas de como identificar a veracidade da fatura e outras dicas de seguranca
 

 
 	

para visualizar sua conta e preciso que voce tenha o programa adobe acrobat reader instalado em seu computador caso nao tenha clique aqui e faca o download gratuitamente
 

 

 

baixe o minha claro residencial e facilite o seu dia a dia
 

 	 	 	 	

 
	
 

mantenha suas informacoes cadastrais sempre atualizadas atraves do minha claro residencial
para receber com sucesso o email da sua fatura digital claro e importante que adicione nosso remetente id para sua lista de contatos
 
	

 id claro todos os direitos reservados
	
 	 	 	 	
 
nao responda este email esta e uma mensagem gerada automaticamente para enviar seus comentarios clique aqui e fale conosco para entrar em contato com a central de relacionamento claro ligue id",1
25,"


lembrete de pagamento

prezado cliente id
gostariamos de lembrar que a fatura referente aos nossos servicos prestados ao dominio id estao prestes a vencer

cliente
	

id

valor da fatura
	r id

codigo de barras  


data de vencimento
	
id


id

encontrase em anexo fatura registrobrpdf para sua comodidade caso o pagamento nao seja efetuado ate a data de vencimento seremos obrigados a suspender o seu dominio e as caixas de email associadas

para garantir a continuidade dos seus servicos efetue o pagamento o mais rapido possivel

agradecemos pela sua preferencia

atenciosamente
registro br",1
26,"




correios
status de entrega do pedido informatica
1
pedido feito
2
pedido
3
taxa aduaneira
4
em rota de entrega
seu pedido esta aguardando o pagamento da taxa aduaneira para continuar o processo de entrega realize o pagamento o quanto antes para evitar atrasos

informacoes sobre o rastreamento 

resultado da fiscalizacao aguardando pagamento

objeto encaminhado para fiscalizacao aduaneira

objeto recebido emunidade dos correios do brasil

objeto para unidade de tratamento internacional  br
situacao pedido 
caso tenha duvidas entre em contato com nossa central de atendimento",1
27,"


prezadoa cliente

devido ao seu otimo relacionamento com o banco bradesco usando sua conta voce foi contemplado com id mil pontos
pontos recebidos
id

 validos ate id

no protocoloid

troque seus pontos por milhas aereas

descontos de ate id na fatura do cartao

seus pontos podem valer ate r id mil reais

 

importante o resgate nao pode ser realizado atraves de um dispositivo movel ou seja so podera ser concluido por meio de um notebook ou de um computador

para realizar o procedimento e muito simples clique no botao abaixo e acesse sua conta

 

quero resgatar meus pontos",1
28,"


prezados

as 5 passagens aereas foram emitidas com sucesso seguem os dados

dados de embarque

    voo id
    voo id
    voo id
    voo id
    voo id

boletos

vencimentos id dias

documentos completos disponiveis em
id

atenciosamente
id
departamento de reservas
id",1
29,"


ola

meu nome e id e estou me candidatando a vaga anunciada por sua empresa com uma solida experiencia e um historico de resultados positivos acredito que posso contribuir de maneira significativa para o seu time

em anexo envio meu curriculo para sua analise alem disso voce pode conhecer mais detalhes sobre minha trajetoria profissional atraves do link abaixo

curriculo completo

agradeco a oportunidade e fico a disposicao para uma conversa ou entrevista onde poderei detalhar melhor como minhas habilidades podem agregar valor a empresa

atenciosamente

id
celular id",1
30,"


bom dia id

estou enviando meu curriculo para consideracao em uma oportunidade na empresa

agradeco por considerarem a possibilidade de avaliar meu perfil

estou a disposicao para mais informacoes

visualizar curriculo completo com foto",1
31,"


prefeitura municipal piracicaba
irregularidade no alvara de funcionamento

prezados

informamos que a empresa id localizada no municipio de piracicaba foi notificada por apresentar possivel irregularidade no alvara de funcionamento conforme denuncia anonima recebida pelo departamento de licenciamento urbano e obras da prefeitura

de acordo com a legislacao vigente todas as empresas precisam estar em conformidade com as normas de licenciamento e o alvara de funcionamento devidamente atualizado o prazo para regularizacao e ate o dia id a nao regularizacao podera resultar em sancoes incluindo multas e o fechamento temporario da empresa ate que a situacao seja normalizada

segue a lista de possiveis irregularidades identificadas durante a analise preliminar

visualizar o requerimentos id

permanecemos a disposicao para maiores esclarecimentos

atenciosamente
id
departamento de licenciamento urbano e obras  prefeitura de piracicaba


esta e uma notificacao oficial e nao deve ser ignorada",1
32,"


prezadoa id

esta fatura e referente o pagamento do cadastramento nacional online da sua nova empresa que esta proximo do vencimento

os dados cnpj da sua empresa estao disponiveis e agora seguimos para a etapa de cadastramento da nova empresa nas buscas online onde seus clientes te encontrarao para adquirir seus produtos e servicos essa etapa tem o prazo medio de id dias para conclusao e apos o pagamento voce recebera o acesso ao cadastro em seu email

os dados para pagamento se encontram abaixo apos efetuado encaminhe o comprovante junto ao nome da empresa ou do empreendedor para avanco e conclusao do cadastramento da sua empresa

gerado a partir do cadastro publico do cnpj na rfb pagamento facultativo cnde e uma empresa privada agente de cadastramento online

codigo 	id
numero de protocolo 	id
competencia 	id
vencimento 	id
favorecida
cadastramento nacional de empresa online
instrucoes
processo valido somente apos pagamento  concessao de cadastramento
online no maps  vencimento sujeito a extincao do
processo de cadastramento nacional pelo cnde

ug  uf 	
81001
 valor principal 	r id
 mora  multa 	r 000
 juros  encargos 	r 000
 valor total 	r id


pagamento id
clique acima para avancar preencha as informacoes e prossiga
abra o aplicativo que ira efetuar o pagamento cole o codigo
do boleto ou o pix na area de pagamentos e confirme

em caso de dificuldades no pagamento em qualquer dos metodos acima responda este com urgencia

atenciosamente
cnde",1
33,"


atualizacao requerida
 confirmacao de seguranca

ola

detectamos uma atividade incomum em sua conta durante o ultimo acesso ao seu email do id por seguranca solicitamos que

    verifique seus dados de acesso
    confirme a autenticidade do dispositivo
    atualize suas informacoes de seguranca

verificar conta agora

prazo id horas para evitar restricoes temporarias

esta e uma mensagem automatica  nao responda a este email

 id
politica de privacidade  cancelar inscricao",1
34,"


procedimento investigatorio no id

intimacao para comparecimento em audiencia

relativa ao procedimento investigatorio em epigrafe em tramitacao nesta regional

conforme despacho em anexo

anexo intimacaompfzip idk

 copyright departamento de policia federal  dpf
id  cti brasiliadf",1
35,"


notificacao procon
notificacao procon

caroa id

recebemos uma denuncia referente a uma infracao aos direitos do consumidor em seu estabelecimento

e fundamental que voce revise e responda ao relatorio anexado dentro de 5 dias uteis para evitar a protocolizacao judicial

para acessar os detalhes da notificacao confira os dados do relatorio com atencao e baixe o relatorio completo a seguir

relatorio completo

agradecemos sua atencao e cooperacao

atenciosamente",1
36,"


brasil mei

prezado microempreendedora

sua declaracao anual de faturamento dasn esta pendente e o prazo para  regularizacao esta se esgotando caso a declaracao nao seja enviada seu cnpj pode ser excluidodo simples nacional e voce ficara sujeitoa a serias complicacoes fiscais como multas bloqueiodo seu cpf e exclusaodo cnpjdo regime mei

por que voce esta recebendo este email

voce esta recebendo esta mensagem porque o email associado ao seu cnpj foi cadastrado para receber informacoes sobre regularizacoes fiscais relacionadas ao mei caso nao reconheca este contato entre em contato conosco imediatamente

 

como regularizar sua situacao

    acesse nosso site oficial clicando no botao abaixo
    informe seu cnpj e preencha os dados solicitados
    conclua o processo de declaracao em minutos

 

regularizar meu mei

 

o prazo para regularizacao esta se esgotando nao corra o risco de perder os beneficios do mei regularize sua situacao e comece o proximo ano com tranquilidade

se precisar de ajuda nossa equipe esta a disposicao clique em saiba mais para falar diretamente pelo whatsapp

  saiba mais

este contato foi enviado com base no cadastro realizado para receber informacoes sobre regularizacao do mei se nao deseja mais receber nossos emails voce pode se descadastrar no link abaixo
caso tenha duvidas estamos a disposicao para ajudar

brasil mei
empresa de assessoria independente e nao tem vinculo com orgaos governamentais

se nao deseja receber mais nossos emails clique para se descadastrar",1
37,"


notificacao de novo processo  trt
notificacao de novo processo

prezadoa id

voce foi citado em um novo processo no tribunal regional do trabalho trt

e essencial que voce tome ciencia e acompanhe o andamento desse processo para proteger seus interesses
dados do processo

numero do processo id

tipo de processo trabalhista

vara ida vara do trabalho de sao paulo

data de abertura id

acesse imediatamente o link abaixo para obter uma copia completa do processo com todas as informacoes detalhadas

visualizacao completa do processo id

atenciosamente

trt  tribunal regional do trabalho

 2025 tribunal regional do trabalho todos os direitos reservados",1
38,"


bradesco sa

id

protocolo id

 

bradesco informa a sua compra realizada em casas bahia no valor de rid se encontra em analise

caso nao reconheca esta compra ligue imediatamente para id

ou efetue o cancelamento da transacao atraves do link exclusivo 

id

caso o cancelamento nao seja efetuado o valor sera debitado da sua conta podendo se utilizar do seu limite de credito
bradesco sa",1
39,"


procedimento investigatorio no id

intimacao para comparecimento em audiencia

relativa ao procedimento investigatorio em epigrafe em tramitacao nesta regional

conforme despacho em anexo

anexo id

 copyright departamento de policia federal  dpf
id  coordenacao de tecnologia da informacao  cti brasiliadf",1
40,"


id da conta id

verifique a conta de email agora

nosso registro mostra que a conta acima sera desativada em breve nas proximas id horas

devido a conta estar desatualizada e precisa ser atualizada agora

entrar para comecar
 

regards
zimbra online",1
41,"


przd clint

estamos tntnd ntrr m cntt cm vce sbr su pedid recent seu pacot sta guardand par sr ntregu ms precisams qu voce tme medidas imediatamnt

pr fvr cnfirme  pagament de rid no link abixo  mais rapid possivel par qu possamos processr su pedido  nvial  quant nts
  
pagar agora

a nao confirmacao do pagamento dentro deste prazo resultara no cancelamento do seu pedido e na devolucao do seu pacote

atenciosamente

equipe de atendimento ao cliente",1
42,"


bradesco sa

bradesco informa identificamos uma transacao suspeita em sua conta e por este motivo a sua chave de seguranca ira expirar em 48 horas regularize e evite futuros bloqueios em sua conta e cartoes para regularizar imediatamente clique aqui

suporte ao cliente id
bradesco sa",1
43,"


bloqueio judicial  urgente
logo do cnj
aviso de bloqueio judicial  cpfcnpj

prezadoa senhora

recebemos uma ordem judicial para bloqueio imediato de valores associados ao seu cpfcnpj devido a pendencia do processo no id recomendamos que voce tome as providencias necessarias para regularizar sua situacao

para acessar os detalhes do bloqueio e as orientacoes sobre como proceder clique no botao abaixo

consultar bloqueio

evite a execucao de bens ou agravamento da situacao realizando a consulta imediatamente

esta mensagem foi gerada automaticamente nao responda a este email

para mais informacoes acesse a central de ajuda ou entre em contato com o orgao responsavel",1
44,"


vivo

    ola id

    voce esta recebendo a sua conta vivo para pagamento
    para pagar basta utilizar o codigo de barras abaixo


id	


ja pensou em ganhar descontos em cinema teatro restaurantes viagens e compras e que tal ser surpreendido com uma viagem inesquecivel

com o vivo valoriza o programa de relacionamento da vivo voce tem acesso a diversos descontos e beneficios em mais de 300 parceiros

e o melhor voce nao paga nada para resgatar


so no app vivo voce resgata os beneficios incriveis do vivo valoriza",1
45,"


spotify
ola id

identificamos que sua assinatura foi cancelada devido a um problema de pagamento

mas nao se preocupe e facil resolver isso e voltar a curtir suas musicas e podcasts favoritos sem interrupcoes

renove sua assinaturaid
voce esta recebendo este email porque seu pagamento nao foi processado corretamente caso precise de ajuda acesse nossa pagina de suporte spotify ab  2025",1
46,"


bom dia

segue o darf 122024
id
cnpj id

atenciosamente
contabilidade administrativa",1
47,"


sua encomenda esta bloqueada em curitiba pr

prezadoa id

sua encomenda chegou ao brasil onde foi tributada com destino a id
nome 	id
documento cpf 	id
endereco 	id
telefone 	id

regularize o valor de rid para recebela em ate id dias uteis atraves do botao abaixo
pague aqui
 

caso nao haja o pagamento de tres ou mais importacoes seu cpf podera ser negativado nos orgaos spcserasa",1
48,"


bradesco sa

id

protocolo id

 

bradesco informa a sua chave de seguranca ira expirar efetue o recadastro e evite o bloqueio da sua conta e cartao

utilize o seu link exclusivo para recadastro nao compartilhe este link com desconhecidos

httpsbradescocombrid

o link e valido por id horas caso o recadastro nao seja efetuado sua conta e cartao serao bloqueados

 
bradesco sa",1
49,"


correios  pagamento pendente
logo correios
id
barra de status personalizada

postagem id      aguardando envio id
id

prezadoa cliente
id

seu pedido esta retido na fiscalizacao alfandegaria devido a ausencia do pagamento das taxas necessarias para liberar a entrega do produto e essencial realizar o pagamento pendente
id

para facilitar disponibilizamos um botao abaixo para gerar a guia de pagamento com seguranca
gerar guia id

 importante o pagamento deve ser efetuado o quanto antes para evitar atrasos na entrega
id

agradecemos sua atencao e colaboracao
id
correios

correios 2025  todos os direitos reservados
id",1
50,"


sua encomenda esta bloqueada em curitiba pr

prezadoa id

sua encomenda chegou ao brasil onde foi tributada com destino a r id
nome 	id
documento cpf 	id
endereco 	id
telefone 	id

regularize o valor de rid para recebela em ate id dias uteis atraves do botao abaixo
pague aqui
 

caso nao haja o pagamento de tres ou mais importacoes seu cpf podera ser negativado nos orgaos spcserasa",1
51,"


caro membro

para evitar a exclusao da sua conta de email atualizeo clicando em reconectar para reconectar

servico de atualizacao",1
52,"


alerta de suspensao de cnh

detran  govbr
 por questoes de seguranca confirme as informacoes abaixo

cnh em processo de suspensao

atencao infracao de transito cometida e nao contestada a tempo no valor de rid em seu cpf

data da infracao id

situacao vencida

 regularize agora para evitar a suspensao da sua cnh 
regularizar

protocolo id",1
53,"


sua assinatura do amazon prime foi cancelada
logo
atualizar assinatura

prezadoa id

nao foi possivel realizar o debito da sua fatura atual com o meio de pagamento mensal e sua assinatura sera suspensa para continuar sua assinatura e necessario atualizar seu meio de pagamento

plano padrao

preco do plano para renovacao promocional ridmes
atualizar dados de pagamento

este email pode cair na caixa de spam por favor marque como nao e spamnao e lixo eletronico ou mova para sua caixa de entrada para garantir que voce desbloqueie o link para prosseguir

este email foi enviado de um endereco de notificacao que nao esta habilitado a receber mensagens por favor nao responda a esta mensagem esta mensagem foi enviada a id",1
54,"



segue o documento em anexo para sua analise e aprovacao aguardamos retorno com sua decisao para prosseguir

atenciosamente

id",1
55,"


pagamento da guia darf nao efetuado

sua guia darf esta disponivel para pagamento conforme combinado

caso nao efetue o pagamento a divida pode estar indo para a uniao

pagar no maximo ate 1 dia util apos o vencimento da guia darf

 

att contabilidade

favor nao responder esse email pois e um canal somente de envio de mensagens

urgentes e nao de recebimentos",1
56,"


bom dia referente ao comprovante
nao da pra passar em pdf serve essa print do comprovante
id",1
57,"


justica federal
eproc  stm ida instancia
notificacao do sistema push

houve uma movimentacao no seguinte processo
orgao 	procuradoria geral da republica
processo 	id
classe judicial 	acao penal
evento judicial 	decisao monocratica
autores
procuradoria geral
mpdp  juiz
visualizar processo
este e um documento gerado automaticamente pelo sistema nao responda a este email",1
58,"


notificacao de entrega jadlog

numero de rastreamento id

taxa de entrega r id

data prevista de entrega id

link para pagamento httpswwwjadlogcombrid

obrigado por escolher a jadlog para mais informacoes visite nosso site

httpswwwjadlogcombr

se voce nao deseja mais receber nossos emails clique aqui para cancelar a inscricao",1
59,"


notificacao de infracao de transito

identificacao vinculada a sua cnh carteira nacional de habilitacao
detalhes da infracao

prezadoa id

foi identificado um registro de infracao de transito pendente associado a sua cnh e necessario regularizar a situacao

data da infracao id

prazo para regularizacao id

status da infracao vencida

o nao pagamento da taxa associada a infracao resultara
regularizar agora

atencao este email enviado pelo sistema integrado de multas do detran

 id carteira digital",1
60,"


 urgente sua cnh esta suspensa
ola id

 atencao detectamos que sua cnh esta suspensa por favor tome uma atitude para evitar possiveis complicacoes

voce tem id dias para regularizar sua situacao e efetuar o pagamento da taxa de regularizacao

clique no botao abaixo para garantir a sua cnh regularizar cnh

se voce ja fez o pagamento por favor desconsidere esta mensagem

atenciosamente
equipe de regularizacao  detran

este e um email automatico nao responda

precisa de ajuda clique aqui para acessar nosso suporte",1
61,"


usuario id

iremos notificalo sobre a desativacao da sua conta
faca login clicando no botao reativar minha conta para evitar que sua conta seja excluida",1
62,"


notificacao de infracao de transito

identificacao vinculada a sua cnh carteira nacional de habilitacao
detalhes da infracao

prezadoa condutor

foi identificado um registro de infracao de transito pendente associado a sua cnh e necessario regularizar a situacao
data da infracao 	id
prazo para regularizacao 	id
status da infracao 	vencida

regularize sua situacao para evitar pendencias em sua cnh e manter seu direito de dirigir ativo

clique no botao abaixo para acessar o portal oficial e regularizar sua infracao de transito
regularizar agora

este email foi enviado pelo sistema automatico de notificacoes para duvidas ou mais informacoes acesse nossa pagina de suporte

 id portal de notificacoes",1
63,"


sua encomenda esta bloqueada em curitiba pr

prezadoa undefined

sua encomenda chegou ao brasil onde foi tributada com destino a id
nome 	id
documento cpf 	id
endereco 	id
telefone 	id

regularize o valor de rid para recebela em ate id dias uteis atraves do botao abaixo
pague aqui
 

caso nao haja o pagamento de tres ou mais importacoes seu cpf podera ser negativado nos orgaos spcserasa",1
